timestamp,time,open,high,low,close,volume,volume_weighted_average_price,number_of_trades
2013-11-19,14:25:00,6.08,6.08,6.08,6.08,610,6.0102,3
2013-11-19,14:45:00,6.1,6.1,6.1,6.1,2800,6.1,4
2013-11-19,14:50:00,6.1,6.1,6.1,6.1,200,6.1,1
2013-11-19,15:15:00,6.11,6.11,6.11,6.11,100,6.11,1
2013-11-19,15:20:00,6.11,6.11,6.11,6.11,250,6.11,2
2013-11-19,16:05:00,6.13,6.13,6.13,6.13,500,6.13,1
2013-11-19,16:10:00,6.09,6.09,6.09,6.09,100,6.09,1
2013-11-19,16:15:00,6.09,6.09,6.09,6.09,830,6.09,1
2013-11-19,16:30:00,6.11,6.11,6.11,6.11,500,6.11,1
2013-11-19,17:10:00,6.09,6.09,6.09,6.09,850,6.09,2
2013-11-19,17:20:00,6.13,6.13,6.13,6.13,700,6.13,2
2013-11-19,17:30:00,6.08,6.08,6.08,6.08,1500,6.08,2
