timestamp,time,open,high,low,close,volume,volume_weighted_average_price,number_of_trades
2022-08-01,03:25:00,3.56,3.59,3.48,3.5,74396,3.5343,510
2022-08-01,03:30:00,3.5,3.51,3.41,3.46,142782,3.4585,653
2022-08-01,03:35:00,3.46,3.52,3.46,3.51,39882,3.486,248
2022-08-01,03:40:00,3.53,3.6,3.52,3.58,59114,3.5651,339
2022-08-01,03:45:00,3.58,3.62,3.58,3.61,71992,3.5959,385
2022-08-01,03:50:00,3.61,3.62,3.6,3.6,105272,3.6038,309
2022-08-01,03:55:00,3.6,3.62,3.6,3.61,37385,3.6043,168
2022-08-01,04:00:00,3.6,3.64,3.58,3.61,289501,3.6057,1044
2022-08-01,04:05:00,3.61,3.64,3.59,3.62,116461,3.6061,495
2022-08-01,04:10:00,3.62,3.63,3.54,3.63,201141,3.5856,900
2022-08-01,04:15:00,3.62,3.63,3.57,3.57,136264,3.6089,685
2022-08-01,04:20:00,3.57,3.59,3.53,3.57,103853,3.5595,541
2022-08-01,04:25:00,3.55,3.57,3.47,3.48,114807,3.5185,503
2022-08-01,04:30:00,3.47,3.52,3.47,3.52,91412,3.5044,375
2022-08-01,04:35:00,3.52,3.59,3.52,3.58,139032,3.5563,550
2022-08-01,04:40:00,3.59,4,3.58,3.87,788302,3.7764,3170
2022-08-01,04:45:00,3.87,4.07,3.86,3.96,946686,3.9967,3597
2022-08-01,04:50:00,3.96,4.05,3.91,4.03,355814,3.9978,1504
2022-08-01,04:55:00,4.03,4.19,3.97,4.14,529315,4.0853,2495
2022-08-01,05:00:00,4.14,4.48,3.72,4.34,3016344.0,4.1973,8116
2022-08-01,05:05:00,4.34,4.43,4.25,4.29,1110464.0,4.3523,3569
2022-08-01,05:10:00,4.29,4.35,4.21,4.33,791484,4.2898,2709
2022-08-01,05:15:00,4.32,4.33,4.13,4.25,962211,4.2351,3216
2022-08-01,05:20:00,4.25,4.29,4.12,4.14,912303,4.1421,2595
2022-08-01,05:25:00,4.14,4.18,4.04,4.09,1121847.0,4.088,3348
2022-08-01,05:30:00,4.09,4.1,3.93,3.94,1588922.0,3.8386,4342
2022-08-01,05:35:00,3.95,4.03,3.93,4.03,754363,3.8806,2261
2022-08-01,05:40:00,4.03,4.11,3.97,4.02,724841,4.0289,2233
2022-08-01,05:45:00,4.02,4.06,3.97,3.99,312590,4.0067,928
2022-08-01,05:50:00,4,4.01,3.92,3.96,473259,3.97,1509
2022-08-01,05:55:00,3.97,4.03,3.94,3.99,438165,3.9808,1337
2022-08-01,06:00:00,3.99,4.15,3.98,4.14,881975,4.0906,2681
2022-08-01,06:05:00,4.15,4.21,4.03,4.14,839224,4.1409,3016
2022-08-01,06:10:00,4.14,4.14,4.02,4.03,415512,4.0792,1398
2022-08-01,06:15:00,4.03,4.12,4.02,4.1,375076,4.0829,1154
2022-08-01,06:20:00,4.1,4.23,4.1,4.16,419601,4.1495,1577
2022-08-01,06:25:00,4.17,4.29,4.16,4.26,834348,4.2401,3521
2022-08-01,06:30:00,4.26,4.3,3.92,3.9202,6132412.0,4.0919,18281
2022-08-01,06:35:00,3.9233,4.04,3.73,3.9806,5786431.0,3.8817,14670
2022-08-01,06:40:00,3.985,3.991,3.75,3.8795,2327314.0,3.8606,6409
2022-08-01,06:45:00,3.87,3.9,3.77,3.805,1631437.0,3.8444,4575
2022-08-01,06:50:00,3.8,4,3.75,3.945,3419931.0,3.8727,8034
2022-08-01,06:55:00,3.9303,4.19,3.93,4.125,5188183.0,4.0882,11178
2022-08-01,07:00:00,4.121,4.14,3.84,3.88,2872128.0,3.9622,6528
2022-08-01,07:05:00,3.89,4,3.84,3.85,1911409.0,3.8967,4508
2022-08-01,07:10:00,3.8593,3.9,3.81,3.885,1206764.0,3.8581,3313
2022-08-01,07:15:00,3.8802,3.99,3.85,3.885,1418599.0,3.9274,3589
2022-08-01,07:20:00,3.885,3.92,3.85,3.89,749515,3.8773,2044
2022-08-01,07:25:00,3.89,4.09,3.67,3.6914,3164919.0,3.9219,6928
2022-08-01,07:30:00,3.7,3.8299,3.65,3.82,2469496.0,3.7509,6200
2022-08-01,07:35:00,3.8203,3.825,3.67,3.705,1604375.0,3.726,3950
2022-08-01,07:40:00,3.7001,3.79,3.7,3.7894,805402,3.7447,2356
2022-08-01,07:45:00,3.79,3.79,3.67,3.7029,933068,3.7239,2207
